#;bioma;champsTrouve;champsTrouvebiomass;consumed;eauTrouve;hcarbon_impact;herd_kmT;herd_size;htype;income;location;milk;milking_nb;name;pcTrouve;stock;stock_month;test;total_crb_consumed;total_pb_consumed;transhumance
0;0.0;true;true;0.0;false;0.0;0.0;121.0;'large';0.0;{44480.01008952232,72034.44963360198,0.0};0.0;12.0;'Troupeau0';false;0.0;0.0;'ras';0.0;0.0;false
1;0.0;true;true;0.0;true;0.0;0.0;23.0;'medium';0.0;{85412.53471178212,74554.60530591458,0.0};0.0;2.0;'Troupeau1';false;0.0;0.0;'ras';0.0;0.0;false
2;0.0;true;true;0.0;false;0.0;0.0;168.0;'large';0.0;{71768.35983769552,62793.87883512243,0.0};0.0;16.0;'Troupeau2';false;0.0;0.0;'ras';0.0;0.0;false
3;0.0;true;true;0.0;true;0.0;10.0;15.0;'minifarm';0.0;{115975.4864297361,44732.763183548755,0.0};0.0;12.0;'Troupeau3';true;0.0;0.0;'cell22880';0.0;0.0;false
4;0.0;false;true;0.0;false;0.0;0.0;17.0;'medium';0.0;{119250.0883995169,81275.02043208152,0.0};0.0;1.0;'Troupeau4';false;0.0;0.0;'ras';0.0;0.0;false
5;0.0;false;true;0.0;true;0.0;0.0;9.0;'small';0.0;{11733.990391714478,3990.2464811616255,0.0};0.0;0.0;'Troupeau5';false;0.0;0.0;'ras';0.0;0.0;false
6;0.0;true;true;0.0;true;0.0;0.0;39.0;'medium';0.0;{77226.02978733016,2310.1426996198884,0.0};0.0;3.0;'Troupeau6';false;0.0;0.0;'ras';0.0;0.0;false
7;0.0;true;true;0.0;false;0.0;6.0;52.0;'medium';0.0;{113792.41844988226,16591.024842724655,0.0};0.0;5.0;'Troupeau7';true;0.0;0.0;'cell10285';0.0;0.0;false
8;0.0;true;true;0.0;true;0.0;0.0;43.0;'medium';0.0;{44480.01008952232,5250.324317317929,0.0};0.0;4.0;'Troupeau8';false;0.0;0.0;'ras';0.0;0.0;false
9;0.0;true;true;0.0;false;0.0;0.0;33.0;'medium';0.0;{120887.38938440729,37172.29616661093,0.0};0.0;3.0;'Troupeau9';false;0.0;0.0;'ras';0.0;0.0;false
10;0.0;true;true;0.0;true;0.0;0.0;-1.0;'large';0.0;{46663.07806937618,45992.841019705054,0.0};0.0;-1.0;'Troupeau10';false;0.0;0.0;'ras';0.0;0.0;false
11;0.0;true;true;0.0;false;0.0;0.0;252.0;'large';0.0;{80500.63175711095,38432.37400276724,0.0};0.0;25.0;'Troupeau11';false;0.0;0.0;'ras';0.0;0.0;false
12;0.0;false;true;0.0;false;0.0;0.0;141.0;'large';0.0;{78317.56377725709,84635.227995165,0.0};0.0;14.0;'Troupeau12';false;0.0;0.0;'ras';0.0;0.0;false
13;0.0;true;true;0.0;false;0.0;7.0;40.0;'medium';0.0;{96873.64160601488,26671.64753197508,0.0};0.0;4.0;'Troupeau13';true;0.0;0.0;'cell13691';0.0;0.0;false
14;0.0;true;true;0.0;true;0.0;0.0;29.0;'medium';0.0;{111609.3504700284,51033.152364330264,0.0};0.0;2.0;'Troupeau14';false;0.0;0.0;'ras';0.0;0.0;false
15;0.0;true;true;0.0;false;0.0;10.0;36.0;'medium';0.0;{102331.31155564952,22471.388078120737,0.0};0.0;3.0;'Troupeau15';true;0.0;0.0;'cell11630';0.0;0.0;false
16;0.0;false;true;0.0;true;0.0;0.0;9.0;'small';0.0;{12825.524381641406,5670.350262703363,0.0};0.0;0.0;'Troupeau16';false;0.0;0.0;'ras';0.0;0.0;false
