biotp,monthsnbMois
96,August
96,September
105,October
42,November
15,December
15,January
15,February
15,March
7,April
7,May
7,June
31,July
91,August
91,September
91,October
35,November
27,December
23,January
23,February
23,March
12,April
12,May
12,June
16,July
46,August
46,September
46,October
18,November
14,December
12,January
12,February
12,March
6,April
6,May
6,June
16,July
46,August
46,September
46,October
19,November
14,December
11,January
11,February
11,March
6,April
6,May
6,June
31,July
91,August
91,September
91,October
38,November
28,December
22,January
22,February
22,March
11,April
11,May
11,June
31,July
91,August
91,September
91,October
38,November
28,December
24,January
24,February
24,March
13,April
13,May
13,June
31,July
91,August
91,September
91,October
34,November
27,December
23,January
23,February
23,March
12,April
12,May
12,June
31,July
91,August
91,September
91,October
37,November
27,December
22,January
22,February
22,March
11,April
11,May
11,June
16,July
46,August
46,September
46,October
21,November
15,December
12,January
12,February
12,March
6,April
6,May
6,June
31,July
91,August
91,September
91,October
35,November
27,December
22,January
22,February
22,March
12,April
12,May
12,June
16,July
100,August
100,September
103,October
63,November
53,December
53,January
53,February
53,March
26,April
26,May
26,June
32,July
95,August
95,September
95,October
50,November
45,December
44,January
44,February
44,March
23,April
23,May
23,June
16,July
48,August
48,September
48,October
25,November
23,December
23,January
23,February
23,March
12,April
12,May
12,June
32,July
95,August
95,September
95,October
49,November
45,December
45,January
45,February
45,March
23,April
23,May
23,June
16,July
48,August
48,September
48,October
25,November
22,December
22,January
22,February
22,March
12,April
12,May
12,June
16,July
48,August
48,September
48,October
26,November
24,December
23,January
23,February
23,March
12,April
12,May
12,June
32,July
95,August
95,September
95,October
48,November
46,December
45,January
45,February
45,March
23,April
23,May
23,June
16,July
48,August
48,September
48,October
25,November
24,December
23,January
23,February
23,March
12,April
12,May
12,June
16,July
48,August
48,September
48,October
25,November
24,December
23,January
23,February
23,March
12,April
12,May
12,June
32,July
95,August
95,September
95,October
52,November
47,December
45,January
45,February
45,March
23,April
23,May
23,June
32,July
302,August
320,September
320,October
179,November
177,December
183,January
183,February
183,March
88,April
88,May
93,June
59,July
159,August
159,September
159,October
87,November
78,December
75,January
75,February
75,March
42,April
42,May
42,June
108,July
320,August
320,September
320,October
167,November
157,December
161,January
161,February
161,March
82,April
82,May
82,June
108,July
302,August
320,September
320,October
163,November
158,December
160,January
160,February
160,March
77,April
77,May
81,June
59,July
150,August
159,September
159,October
76,November
75,December
75,January
75,February
75,March
33,April
33,May
42,June
59,July
150,August
159,September
159,October
87,November
79,December
76,January
76,February
76,March
33,April
33,May
43,June
59,July
159,August
159,September
159,October
83,November
78,December
75,January
75,February
75,March
42,April
42,May
42,June
108,July
320,August
320,September
320,October
168,November
163,December
163,January
163,February
163,March
83,April
83,May
83,June
108,July
302,August
320,September
320,October
179,November
163,December
160,January
160,February
160,March
77,April
77,May
81,June
59,July
159,August
159,September
159,October
79,November
78,December
75,January
75,February
75,March
42,April
42,May
42,June
108,July
330,August
330,September
332,October
168,November
154,December
156,January
156,February
156,March
82,April
82,May
82,June
113,July
330,August
330,September
330,October
170,November
149,December
143,January
143,February
143,March
78,April
78,May
78,June
113,July
312,August
330,September
330,October
164,November
153,December
150,January
150,February
150,March
82,April
82,May
82,June
60,July
158,August
167,September
167,October
77,November
75,December
73,January
73,February
73,March
33,April
33,May
38,June
60,July
167,August
167,September
167,October
81,November
76,December
72,January
72,February
72,March
38,April
38,May
38,June
113,July
330,August
330,September
330,October
170,November
146,December
145,January
145,February
145,March
79,April
79,May
79,June
113,July
330,August
330,September
330,October
166,November
146,December
146,January
146,February
146,March
80,April
80,May
80,June
113,July
330,August
330,September
330,October
174,November
