name,htype,milk,milking_nb,(Tr_col / milking_nb) / 30,monthsnbMois,nbAnnee
Troupeau0,minifarm,1230.0,12.0,1.7083333333333333,August,0
Troupeau2,minifarm,1050.0,12.0,1.4583333333333333,August,0
Troupeau3,small,5.0,2.0,0.04166666666666666,August,0
Troupeau5,large,424.0,35.0,0.2019047619047619,August,0
Troupeau8,minifarm,1770.0,12.0,2.4583333333333335,August,0
Troupeau26,minifarm,1230.0,12.0,1.7083333333333333,August,0
Troupeau30,small,110.0,2.0,1.8333333333333333,August,0
Troupeau44,medium,100.0,11.0,0.15151515151515152,August,0
Troupeau46,large,2262.0,35.0,1.0771428571428572,August,0
Troupeau81,minifarm,1590.0,12.0,2.2083333333333335,August,0
Troupeau87,small,43.0,2.0,0.35833333333333334,August,0
Troupeau89,large,1999.0,35.0,0.9519047619047619,August,0
Troupeau90,medium,100.0,11.0,0.15151515151515152,August,0
Troupeau102,medium,100.0,11.0,0.15151515151515152,August,0
Troupeau103,small,5.0,2.0,0.04166666666666666,August,0
Troupeau107,large,1737.0,35.0,0.8271428571428571,August,0
Troupeau110,minifarm,1590.0,12.0,2.2083333333333335,August,0
Troupeau123,small,5.0,2.0,0.08333333333333333,August,0
Troupeau130,minifarm,1770.0,12.0,4.916666666666667,August,0
Troupeau142,minifarm,1410.0,12.0,3.9166666666666665,August,0
Troupeau152,minifarm,1410.0,12.0,1.9583333333333333,August,0
Troupeau156,minifarm,1050.0,12.0,2.9166666666666665,August,0
Troupeau157,minifarm,1230.0,12.0,1.7083333333333333,August,0
Troupeau158,minifarm,870.0,12.0,1.2083333333333333,August,0
Troupeau183,large,687.0,35.0,0.3271428571428572,August,0
Troupeau186,medium,100.0,11.0,0.15151515151515152,August,0
Troupeau195,small,5.0,2.0,0.08333333333333333,August,0
Troupeau197,large,424.0,35.0,0.2019047619047619,August,0
Troupeau204,small,5.0,2.0,0.04166666666666666,August,0
Troupeau209,small,13.0,2.0,0.10833333333333334,August,0
Troupeau210,minifarm,1590.0,12.0,2.2083333333333335,August,0
Troupeau213,minifarm,1230.0,12.0,3.4166666666666665,August,0
Troupeau214,medium,142.0,11.0,0.21515151515151515,August,0
Troupeau218,minifarm,1050.0,12.0,1.4583333333333333,August,0
Troupeau224,minifarm,1410.0,12.0,1.9583333333333333,August,0
Troupeau225,minifarm,1770.0,12.0,2.4583333333333335,August,0
Troupeau231,minifarm,1770.0,12.0,4.916666666666667,August,0
Troupeau232,medium,100.0,11.0,0.15151515151515152,August,0
Troupeau248,large,424.0,35.0,0.2019047619047619,August,0
Troupeau252,minifarm,1770.0,12.0,2.4583333333333335,August,0
Troupeau259,medium,100.0,11.0,0.15151515151515152,August,0
Troupeau261,minifarm,1410.0,12.0,1.9583333333333333,August,0
Troupeau265,minifarm,1230.0,12.0,1.7083333333333333,August,0
Troupeau272,minifarm,870.0,12.0,2.4166666666666665,August,0
Troupeau273,minifarm,1410.0,12.0,1.9583333333333333,August,0
Troupeau274,minifarm,1590.0,12.0,2.2083333333333335,August,0
Troupeau285,medium,100.0,11.0,0.30303030303030304,August,0
Troupeau286,large,424.0,35.0,0.2019047619047619,August,0
Troupeau287,medium,348.0,11.0,0.5272727272727272,August,0
Troupeau294,small,65.0,2.0,1.0833333333333333,August,0
Troupeau295,medium,389.0,11.0,0.5893939393939395,August,0
Troupeau298,small,102.0,2.0,1.7,August,0
Troupeau299,minifarm,1590.0,12.0,2.2083333333333335,August,0
Troupeau300,medium,183.0,11.0,0.2772727272727273,August,0
Troupeau302,minifarm,1590.0,12.0,4.416666666666667,August,0
Troupeau305,minifarm,1230.0,12.0,1.7083333333333333,August,0
Troupeau309,medium,595.0,11.0,1.8030303030303032,August,0
Troupeau312,minifarm,1410.0,12.0,1.9583333333333333,August,0
Troupeau321,medium,100.0,11.0,0.15151515151515152,August,0
Troupeau324,minifarm,1410.0,12.0,3.9166666666666665,August,0
Troupeau329,medium,100.0,11.0,0.30303030303030304,August,0
Troupeau330,medium,100.0,11.0,0.30303030303030304,August,0
Troupeau331,large,424.0,35.0,0.2019047619047619,August,0
Troupeau333,small,110.0,2.0,0.9166666666666666,August,0
Troupeau334,medium,348.0,11.0,0.5272727272727272,August,0
Troupeau338,small,5.0,2.0,0.04166666666666666,August,0
Troupeau340,minifarm,1590.0,12.0,4.416666666666667,August,0
Troupeau350,medium,100.0,11.0,0.30303030303030304,August,0
Troupeau354,large,424.0,35.0,0.2019047619047619,August,0
Troupeau356,large,1606.0,35.0,1.5295238095238095,August,0
Troupeau365,medium,100.0,11.0,0.15151515151515152,August,0
Troupeau368,large,424.0,35.0,0.4038095238095238,August,0
Troupeau370,medium,100.0,11.0,0.15151515151515152,August,0
Troupeau376,small,20.0,2.0,0.16666666666666666,August,0
Troupeau384,small,5.0,2.0,0.04166666666666666,August,0
Troupeau385,medium,100.0,11.0,0.15151515151515152,August,0
Troupeau394,large,556.0,35.0,0.26476190476190475,August,0
Troupeau399,medium,100.0,11.0,0.30303030303030304,August,0
Troupeau404,large,424.0,35.0,0.4038095238095238,August,0
Troupeau423,medium,100.0,11.0,0.15151515151515152,August,0
Troupeau429,large,424.0,35.0,0.4038095238095238,August,0
Troupeau431,large,424.0,35.0,0.2019047619047619,August,0
Troupeau433,small,5.0,2.0,0.04166666666666666,August,0
Troupeau438,medium,100.0,11.0,0.30303030303030304,August,0
Troupeau441,large,424.0,35.0,0.2019047619047619,August,0
Troupeau447,large,424.0,35.0,0.2019047619047619,August,0
Troupeau451,medium,100.0,11.0,0.30303030303030304,August,0
Troupeau455,medium,100.0,11.0,0.30303030303030304,August,0
Troupeau456,medium,100.0,11.0,0.15151515151515152,August,0
Troupeau459,medium,100.0,11.0,0.15151515151515152,August,0
Troupeau461,small,5.0,2.0,0.04166666666666666,August,0
Troupeau469,large,424.0,35.0,0.2019047619047619,August,0
Troupeau485,medium,100.0,11.0,0.15151515151515152,August,0
Troupeau498,medium,265.0,11.0,0.4015151515151515,August,0
Troupeau500,large,1999.0,35.0,0.9519047619047619,August,0
Troupeau508,large,424.0,35.0,0.2019047619047619,August,0
Troupeau511,medium,100.0,11.0,0.15151515151515152,August,0
Troupeau532,medium,183.0,11.0,0.2772727272727273,August,0
Troupeau536,small,5.0,2.0,0.08333333333333333,August,0
Troupeau544,medium,224.0,11.0,0.6787878787878788,August,0
Troupeau547,medium,430.0,11.0,1.3030303030303032,August,0
Troupeau550,medium,265.0,11.0,0.4015151515151515,August,0
Troupeau554,large,424.0,35.0,0.4038095238095238,August,0
Troupeau563,small,22.0,3.0,0.24444444444444444,August,0
Troupeau565,large,424.0,35.0,0.2019047619047619,August,0
Troupeau594,medium,430.0,11.0,0.6515151515151516,August,0
Troupeau597,large,556.0,35.0,0.26476190476190475,August,0
Troupeau603,small,35.0,2.0,0.2916666666666667,August,0
Troupeau606,large,1474.0,35.0,0.7019047619047619,August,0
Troupeau0,minifarm,1770.0,12.0,2.4583333333333335,September,0
Troupeau2,minifarm,1050.0,12.0,1.4583333333333333,September,0
Troupeau3,small,5.0,2.0,0.04166666666666666,September,0
Troupeau5,large,1212.0,35.0,0.5771428571428571,September,0
Troupeau8,minifarm,1050.0,12.0,1.4583333333333333,September,0
Troupeau26,minifarm,1590.0,12.0,2.2083333333333335,September,0
Troupeau30,small,50.0,2.0,0.8333333333333334,September,0
Troupeau44,medium,472.0,11.0,0.7151515151515151,September,0
Troupeau46,large,1737.0,35.0,0.8271428571428571,September,0
Troupeau81,minifarm,1590.0,12.0,2.2083333333333335,September,0
Troupeau87,small,43.0,2.0,0.35833333333333334,September,0
Troupeau89,large,424.0,35.0,0.2019047619047619,September,0
Troupeau90,medium,100.0,11.0,0.15151515151515152,September,0
Troupeau102,medium,678.0,11.0,1.0272727272727271,September,0
Troupeau103,small,5.0,2.0,0.04166666666666666,September,0
Troupeau107,large,1212.0,35.0,0.5771428571428571,September,0
Troupeau110,minifarm,1410.0,12.0,1.9583333333333333,September,0
Troupeau123,small,5.0,2.0,0.08333333333333333,September,0
Troupeau130,minifarm,870.0,12.0,2.4166666666666665,September,0
Troupeau142,minifarm,1230.0,12.0,3.4166666666666665,September,0
Troupeau152,minifarm,1050.0,12.0,1.4583333333333333,September,0
Troupeau156,minifarm,1770.0,12.0,4.916666666666667,September,0
Troupeau157,minifarm,1770.0,12.0,2.4583333333333335,September,0
Troupeau158,minifarm,1410.0,12.0,1.9583333333333333,September,0
