prod_lait_Tr,prod_lait_Fr,monthsnbMois
23,107,August
23,109,September
19,111,October
15,107,November
15,112,December
15,110,January
15,114,February
15,115,March
13,108,April
13,110,May
13,106,June
87,110,July
66,109,August
66,110,September
62,112,October
59,106,November
52,106,December
48,110,January
48,112,February
48,106,March
43,109,April
43,110,May
43,109,June
104,113,July
90,109,August
90,112,September
86,107,October
71,106,November
62,113,December
58,105,January
58,109,February
58,108,March
41,107,April
41,109,May
41,106,June
104,108,July
90,104,August
90,108,September
86,109,October
71,108,November
60,115,December
55,109,January
55,109,February
55,108,March
34,109,April
34,106,May
34,109,June
87,107,July
66,110,August
66,109,September
62,107,October
60,107,November
52,109,December
49,103,January
49,105,February
49,113,March
44,110,April
44,111,May
44,106,June
87,106,July
66,106,August
66,114,September
62,109,October
59,109,November
52,108,December
49,111,January
49,111,February
49,112,March
44,110,April
44,106,May
44,105,June
87,108,July
66,111,August
66,106,September
62,105,October
60,105,November
53,110,December
48,108,January
48,114,February
48,110,March
42,109,April
42,109,May
42,110,June
87,111,July
66,116,August
66,109,September
62,111,October
60,108,November
52,111,December
48,112,January
48,107,February
48,107,March
44,110,April
44,105,May
44,107,June
104,108,July
90,107,August
90,109,September
86,110,October
74,109,November
65,111,December
60,104,January
60,107,February
60,109,March
44,112,April
44,108,May
44,110,June
87,109,July
66,107,August
66,111,September
62,104,October
59,106,November
52,106,December
47,110,January
47,109,February
47,107,March
41,110,April
41,106,May
41,113,June
104,108,July
137,113,August
137,107,September
133,114,October
129,104,November
127,113,December
127,108,January
127,109,February
127,114,March
119,115,April
119,110,May
119,110,June
170,115,July
166,104,August
166,109,September
162,112,October
160,116,November
154,104,December
152,102,January
152,112,February
152,102,March
141,110,April
141,117,May
141,103,June
167,113,July
176,109,August
176,109,September
172,109,October
157,108,November
152,103,December
147,106,January
147,117,February
147,118,March
121,102,April
121,108,May
121,100,June
170,115,July
166,105,August
166,109,September
162,111,October
158,111,November
153,113,December
151,107,January
151,115,February
151,105,March
139,99,April
139,105,May
139,116,June
167,101,July
176,109,August
176,105,September
172,113,October
157,111,November
150,112,December
147,102,January
147,105,February
147,110,March
120,104,April
120,106,May
120,109,June
167,108,July
176,108,August
176,102,September
172,110,October
159,106,November
152,108,December
149,110,January
149,114,February
149,107,March
123,111,April
123,109,May
123,110,June
170,106,July
166,119,August
166,103,September
162,119,October
159,118,November
152,108,December
150,114,January
150,115,February
150,109,March
137,105,April
137,118,May
137,117,June
167,109,July
176,109,August
176,115,September
172,103,October
158,117,November
150,116,December
147,100,January
147,107,February
147,104,March
119,113,April
119,108,May
119,104,June
167,109,July
176,113,August
176,110,September
172,115,October
160,107,November
151,112,December
149,104,January
149,109,February
149,118,March
125,116,April
125,117,May
125,114,June
170,107,July
166,109,August
166,113,September
162,109,October
158,112,November
153,107,December
151,109,January
151,103,February
151,110,March
139,107,April
139,110,May
139,111,June
170,111,July
184,148,August
189,118,September
176,118,October
140,73,November
127,133,December
124,103,January
124,148,February
124,148,March
112,88,April
112,88,May
